stamp_ns,elapsed_s,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,wz_rad_s
100000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100100000000,0.1000000000,0.0200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100200000000,0.2000000000,0.0400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100300000000,0.3000000000,0.0600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100400000000,0.4000000000,0.0800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100500000000,0.5000000000,0.1000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100600000000,0.6000000000,0.1200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100700000000,0.7000000000,0.1400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100800000000,0.8000000000,0.1600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
100900000000,0.9000000000,0.1800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101000000000,1.0000000000,0.2000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101100000000,1.1000000000,0.2200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101200000000,1.2000000000,0.2400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101300000000,1.3000000000,0.2600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101400000000,1.4000000000,0.2800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101500000000,1.5000000000,0.3000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101600000000,1.6000000000,0.3200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101700000000,1.7000000000,0.3400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101800000000,1.8000000000,0.3600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
101900000000,1.9000000000,0.3800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102000000000,2.0000000000,0.4000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102100000000,2.1000000000,0.4200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102200000000,2.2000000000,0.4400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102300000000,2.3000000000,0.4600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102400000000,2.4000000000,0.4800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102500000000,2.5000000000,0.5000000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102600000000,2.6000000000,0.5200000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102700000000,2.7000000000,0.5400000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102800000000,2.8000000000,0.5600000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
102900000000,2.9000000000,0.5800000000,0.0000000000,0.0000000000,0.2000000000,0.0000000000,0.0000000000
